Title,console,genre,publisher,developer,critic_score,total_sales,na_sales,jp_sales,pal_sales,other_sales,release_date,last_update,total_sales_computed,release_year
Atari Flashback Classics: Volume 1,XOne,Misc,Atari,Atari,7.3,0.06,0.06,0.0,0.0,0.01,2016-10-12,,0.06999999999999999,2016.0
Policenauts,3DO,Adventure,Konami,Konami,7.3,0.06,0.0,0.06,0.0,0.0,1995-09-29,,0.06,1995.0
Outcast: Second Contact,PS4,Adventure,Maximum Games,Bigben Interactive,7.3,0.06,0.05,0.0,0.0,0.01,2017-11-14,2018-09-12,0.060000000000000005,2017.0
Rooms: The Main Building,Wii,Adventure,Hudson Soft,Hudson Soft,7.0,0.06,0.05,0.0,0.0,0.0,2010-03-23,,0.05,2010.0
Myst III: Exile,XB,Adventure,Ubisoft,Presto Studios,7.3,0.06,0.04,0.0,0.01,0.0,2002-09-22,,0.05,2002.0
Vitamin X to Z,PSP,Adventure,D3 Publisher,HuneX,7.3,0.06,0.0,0.06,0.0,0.0,2011-02-24,,0.06,2011.0
Gormiti: The Lords of Nature!,DS,Adventure,Konami,Climax Group,7.3,0.06,0.05,0.0,0.0,0.0,2010-09-21,,0.05,2010.0
Winx Club: Mission Enchantix,DS,Adventure,Konami,Konami,7.3,0.06,0.03,0.0,0.02,0.0,2008-11-25,,0.05,2008.0
Foster's Home for Imaginary Friends: Imagination Invaders,DS,Adventure,Midway Games,Sensory Sweep,7.3,0.06,0.06,0.0,0.0,0.0,2007-11-12,,0.06,2007.0
Monkey Island: Special Edition Collection,X360,Adventure,Activision,LucasArts,7.3,0.06,0.0,0.0,0.05,0.01,2011-09-09,,0.060000000000000005,2011.0
King's Quest: The Complete Collection,PS4,Adventure,Activision,The Odd Gentlemen,7.3,0.06,0.05,0.0,0.0,0.01,2016-10-24,2018-12-18,0.060000000000000005,2016.0
Broken Sword II: The Smoking Mirror,PS,Adventure,Crave Entertainment,Revolution Software,7.3,0.06,0.03,0.0,0.02,0.0,1999-11-14,,0.05,1999.0
Myst,SAT,Adventure,Acclaim Entertainment,SunSoft,7.3,0.06,0.0,0.06,0.0,0.0,1995-01-01,,0.06,1995.0
Toaru Kagaku no Chou Denjihou,PSP,Adventure,Kadokawa Shoten,Kadokawa Shoten,7.3,0.06,0.0,0.06,0.0,0.0,2011-12-08,,0.06,2011.0
Angelique Trois,PS2,Adventure,KOEI,Koei/Inis,7.3,0.06,0.0,0.06,0.0,0.0,2000-11-22,,0.06,2000.0
KimiKiss (ebKore+),PS2,Adventure,Enterbrain,Enterbrain,7.3,0.06,0.0,0.06,0.0,0.0,2008-02-14,,0.06,2008.0
Game of Thrones: A Telltale Games Series,PS4,Adventure,Telltale Games,Telltale Games,7.3,0.06,0.05,0.0,0.0,0.01,2015-11-17,2018-03-12,0.060000000000000005,2015.0
