Title,console,genre,publisher,developer,critic_score,total_sales,na_sales,jp_sales,pal_sales,other_sales,release_date,last_update
Jackass the Game,PS2,Action,Red Mile Entertainment,Sidhe Interactive,,0.28,0.14,,0.11,0.04,24-09-2007,
Hannah Montana: Spotlight World Tour,PS2,Action,Disney Interactive Studios,Avalanche Software,,0.28,0.12,,0.02,0.14,07-08-2008,
Arcade Hits: Frisky Tom,PS,Action,Hamster Corporation,Hamster,,0.28,0.16,,0.11,0.02,25-07-2002,
Bratz: Super Babyz,DS,Action,THQ,Creat Studios,,0.28,0.26,,0,0.02,25-02-2008,
El Shaddai: Ascension of the Metatron,PS3,Action,Ignition Entertainment,Ignition Entertainment,8,0.28,0.11,0.08,0.07,0.03,16-08-2011,
The Warriors,XB,Action,Rockstar Games,Rockstar Toronto,,0.28,0.21,,0.06,0.01,17-10-2005,
Bladestorm: The Hundred Years' War,PS3,Action,KOEI,Omega Force,5.8,0.28,0.1,0.14,0.03,0.02,06-11-2007,
X-Men: Reign of Apocalypse,GBA,Action,Activision,Digital Eclipse,,0.28,0.2,,0.08,0.01,25-09-2001,
Star Trek Bridge Crew,PS4,Action,Ubisoft,Red Storm Entertainment,6.8,0.28,0.11,,0.12,0.05,30-05-2017,09-04-2018
Monopoly Streets,X360,Misc,Electronic Arts,Electronic Arts,,0.28,0.16,,0.09,0.02,26-10-2010,
Pac-Man Fever,GC,Misc,Namco,Mass Media,5.1,0.28,0.21,,0.06,0.01,03-09-2002,
Syphon Filter: Dark Mirror,PS2,Shooter,Sony Computer Entertainment,SCEA Bend Studio,,0.28,0.14,,0.11,0.04,18-09-2007,
Conflict: Desert Storm II - Back to Bagdhad,XB,Shooter,Gotham Games,Pivotal Games,,0.28,0.21,,0.06,0.01,04-10-2003,
Hot Shots Golf: World Invitational,PS3,Shooter,Sony Computer Entertainment,Clap Hanz,,0.28,,0.28,,,23-07-2013,16-11-2018
Unreal Championship 2: The Liandri Conflict,XB,Shooter,Midway Games,Epic Games,,0.28,0.22,,0.05,0.01,18-04-2005,
Operation Flashpoint: Red River,X360,Shooter,Codemasters,Codemasters,7,0.28,0.1,0.01,0.14,0.03,07-06-2011,
Bratz Ponyz,DS,Adventure,Game Factory,Neko Entertainment,,0.28,0.26,,0,0.02,30-07-2007,
"The Chronicles of Narnia: The Lion, The Witch and The Wardrobe",GC,Adventure,Buena Vista,Traveller's Tales,,0.28,0.22,,0.06,0.01,14-11-2005,
The Adventures of Jimmy Neutron Boy Genius: Attack of the Twonkies,GC,Adventure,THQ,THQ,,0.28,0.22,,0.06,0.01,13-09-2004,
CSI: Deadly Intent,Wii,Adventure,Ubisoft,Telltale Games,,0.28,0.12,,0.13,0.03,27-10-2009,
Avatar: The Last Airbender,Wii,Adventure,THQ,AWE Games,,0.28,0.23,,0.02,0.02,13-11-2006,
Myst III: Exile,PS2,Adventure,Ubisoft,Presto Studios,,0.28,0.14,,0.11,0.04,22-09-2002,
Street Hoops,XB,Sports,Activision,Black Ops Entertainment,,0.28,0.21,,0.06,0.01,12-08-2002,
Rory McIlroy PGA Tour,XOne,Sports,Electronic Arts,EA Tiburon,,0.28,0.16,,0.09,0.02,14-07-2015,24-05-2018
Deer Hunter,PS2,Sports,Atari,Coresoft,,0.28,0.14,,0.11,0.04,22-12-2003,
Dead to Rights: Retribution,PS3,Shooter,Namco Bandai,Volatile Games,6,0.28,0.1,0.02,0.12,0.05,27-04-2010,
Battleborn,XOne,Shooter,2K Games,Gearbox Software,,0.28,0.2,,0.05,0.03,03-05-2016,
Lord of Darkness,SNES,Strategy,KOEI,Koei,,0.28,,0.28,,0,01-01-1994,
Famista '92,NES,Sports,Namco,Namco,,0.28,,0.28,,,20-12-1991,
Surf's Up,DS,Sports,Ubisoft,Ubisoft Quebec,,0.28,0.26,,0,0.02,30-05-2007,
MLB 07: The Show,PSP,Sports,Sony Computer Entertainment,SCEA San Diego Studios,8.1,0.28,0.26,,,0.02,27-02-2007,
Cabela's Big Game Hunter 2012,X360,Sports,Activision,Activision,,0.28,0.24,,0.02,0.02,27-09-2011,
International Superstar Soccer,SNES,Sports,Konami,Konami,,0.28,,0.28,,0,01-06-1995,
NBA 2K12,PSP,Sports,2K Sports,Visual Concepts,,0.28,0.22,,0.03,0.03,04-10-2011,
Wappy Dog,DS,Simulation,Activision,Activision,,0.28,0.26,,0,0.02,08-11-2011,
SimCity 2000,SAT,Simulation,Maxis,Maxis,,0.28,,0.28,,0,01-01-1995,
Dave Mirra Freestyle BMX 2,GC,Sports,Acclaim Entertainment,"Z-Axis, Ltd.",,0.28,0.21,,0.06,0.01,17-11-2001,
Summer Heat Beach Volleyball,PS2,Sports,Acclaim Entertainment,Acclaim Studios Cheltenham,,0.28,0.14,,0.11,0.04,01-07-2003,
Moshi Monsters: Moshlings Theme Park,3DS,Simulation,Activision,"Black Lantern Studios, Inc.",,0.28,0.13,,0.13,0.02,30-10-2012,16-10-2018
The Urbz: Sims In the City (US weekly sales),DS,Simulation,Electronic Arts,Griptonite Games,,0.28,0.26,,,0.02,17-11-2004,
Shrek: Ogres & Dronkeys,DS,Simulation,Activision,WayForward Technologies,,0.28,0.26,,0,0.02,05-11-2007,
Spintires: MudRunner,PS4,Simulation,Focus Home Interactive,Saber Interactive,,0.28,0.11,,0.12,0.05,31-10-2017,30-05-2018
Angry Birds: Star Wars,X360,Puzzle,Activision,Exient Entertainment,,0.28,0.16,,0.1,0.02,29-10-2013,16-03-2018
How to Train Your Dragon 2,3DS,Action-Adventure,Little Orbit,Torus Games,,0.28,0.04,,0.22,0.02,10-06-2014,03-02-2018
Jewel Quest Mysteries: Curse of the Emerald Tear,DS,Puzzle,Avanquest,TBD,,0.28,,,0.25,0.04,23-04-2010,
Carol Vorderman's Sudoku,PS2,Puzzle,Eidos Interactive,Empire Interactive,7.4,0.28,,,0.23,0.05,06-03-2007,
Cake Mania 2: Jill's Next Adventure!,DS,Puzzle,Majesco,Digital Embryo,,0.28,0.26,,0,0.02,24-06-2008,
Onechanbara Z2: Chaos,PS4,Action,NIS America,Tamsoft,,0.28,0.16,0.05,0.03,0.04,21-07-2015,30-05-2018
Gundam Musou Special,PS2,Action,Namco Bandai,Koei,,0.28,,0.28,,,28-02-2008,
The Warriors,PSP,Action,Rockstar Games,Rockstar Toronto / Leeds,8.1,0.28,0.23,,0.02,0.03,12-02-2007,
Indiana Jones and the Staff of Kings,PS2,Action,LucasArts,Artificial Mind and Movement,,0.28,0.11,,0.01,0.16,09-06-2009,
The Binding of Isaac: Afterbirth+,NS,Action,Nicalis,Nicalis,9,0.28,0.17,,0.08,0.03,17-03-2017,18-01-2018
Gundam Versus,PS4,Action,Namco Bandai Games,Namco Bandai Games,7.3,0.28,0.08,0.18,,0.02,29-09-2017,12-01-2018
Donkey Kong GB: Dinky Kong & Dixie Kong,GB,Platform,Nintendo,Rare Ltd.,,0.28,,0.28,,0,28-01-2000,
Over the Hedge,DS,Platform,Activision,Vicarious Visions,7.1,0.28,0.24,,0.01,0.02,05-05-2006,
Pirates of the Caribbean: Dead Man's Chest,PSP,Adventure,Buena Vista,Griptonite Games,4.3,0.28,0.25,,0.01,0.02,27-06-2006,
Dragon Ball GT: Transformation,GBA,Action,Atari,Webfoot Technologies,7.7,0.28,0.2,,0.08,0.01,09-08-2005,
Tak and the Guardians of Gross,PS2,Action,THQ,Blitz Games,,0.28,0.14,,0.11,0.04,13-10-2008,
Silent Hill 2: Restless Dreams,XB,Action,Konami,KCET,,0.28,0.21,,0.06,0.01,20-12-2001,
SimCity 4,PC,Simulation,Electronic Arts,Maxis,8.7,0.28,0.01,,0.24,0.02,12-01-2003,
EyePet,PSP,Simulation,Sony Computer Entertainment,SCEE London Studio,4.9,0.28,0.02,,0.17,0.09,02-11-2010,
Armored Core: Project Phantasma,PS,Simulation,ASCII Entertainment,From Software,7.2,0.28,0.06,0.15,0.04,0.02,30-09-1998,
Yu-Gi-Oh! Double Pack,GBA,Role-Playing,Konami,Konami,,0.28,0.2,,0.08,0.01,21-02-2006,
Digimon Adventure: Anode Tamer,WS,Role-Playing,Bandai,Bandai,,0.28,,0.28,,,16-12-1999,
Final Fantasy VI Advance,GBA,Role-Playing,Nintendo,Square Enix,9.1,0.28,,0.28,,0.01,05-02-2007,
Tales of the World: Radiant Mythology 3,PSP,Role-Playing,Namco Bandai,Alfa System,,0.28,,0.28,,,10-02-2011,
Wild ARMs 5,PS2,Role-Playing,Xseed Games,Media.Vision,7.5,0.28,0.14,,0.11,0.04,28-08-2007,
Yu-Gi-Oh! Monster Capsule Breed & Battle,PS,Role-Playing,Konami,Konami Computer Entertainment Shinjuku,,0.28,,0.26,,0.02,23-07-1998,
Etrian Mystery Dungeon,3DS,Role-Playing,Atlus,Spike Chunsoft,7.6,0.28,0.11,0.14,0.01,0.01,07-04-2015,26-07-2018
Mass Effect 3,WiiU,Role-Playing,Electronic Arts,BioWare,9.2,0.28,0.14,,0.12,0.02,18-11-2012,09-01-2018
Shadow Hearts,PS2,Role-Playing,Midway Games,Sacnoth,7,0.28,0.09,0.1,0.07,0.02,11-12-2001,
Secret of Mana,PS4,Role-Playing,Square Enix,Square,,0.28,0.06,0.05,0.12,0.04,15-02-2018,26-02-2018
Harvest Moon DS Cute (US sales),DS,Simulation,Natsume,Marvelous Interactive,,0.28,0.28,,,,25-03-2008,
F/A-18F Super Hornet,GBA,Simulation,Majesco,UK Magic,,0.28,0.2,,0.08,0.01,16-11-2004,
Marvel Nemesis: Rise of the Imperfects,XB,Fighting,Electronic Arts,Nihilistic Software,,0.28,0.21,,0.06,0.01,20-09-2005,
Dead or Alive,PS,Fighting,Tecmo,Team Ninja,8.3,0.28,0.09,0.1,0.06,0.02,31-03-1998,
Soul Nomad & the World Eaters,PS2,Role-Playing,NIS America,Nippon Ichi Software,,0.28,0.14,,0.11,0.04,25-09-2007,
Dragon Ball: Xenoverse,X360,Fighting,Namco Bandai Games,Dimps Corporation,,0.28,0.21,,0.04,0.03,24-02-2015,11-09-2018
Super Fire ProWrestling X,SNES,Fighting,Human Entertainment,Human Club,,0.28,,0.28,,,22-12-1995,
The King of Fighters '95,SAT,Fighting,SNK,SNK Corporation,,0.28,,0.28,,,01-01-1996,
Kung Fu Chaos,XB,Fighting,Microsoft Game Studios,Just Add Monsters,7,0.28,0.21,,0.06,0.01,24-02-2003,
Godzilla: Domination!,GBA,Fighting,Atari,WayForward Pocket Team,4.7,0.28,0.2,,0.07,0.01,11-11-2002,
Virtua Fighter 5 Online,X360,Fighting,Sega,Sega-AM2,9.2,0.28,0.2,0.03,0.02,0.02,30-10-2007,
Warpath: Jurassic Park,PS,Fighting,Electronic Arts,Black Ops Entertainment,,0.28,0.15,,0.1,0.02,31-10-1999,
Netsu Chu! Pro Yakyuu 2003,PS2,Sports,Namco,Namco,,0.28,,0.28,,,03-04-2003,
All Star Cheer Squad,DS,Sports,THQ,Gorilla Systems,,0.28,0.26,,0,0.02,24-11-2008,
Reel Fishing: Angler's Dream,Wii,Sports,Natsume,SIMS,,0.28,0.25,0,0.01,0.02,25-08-2009,
Madagascar,XB,Platform,Activision,Toys for Bob,6.8,0.28,0.21,,0.06,0.01,24-05-2005,
Lego Star Wars: The Force Awakens,3DS,Action-Adventure,Warner Bros. Interactive Entertainment,TT Fusion,,0.28,0.05,0.02,0.19,0.02,28-06-2016,31-03-2018
Mega Man ZX,DS,Platform,Capcom,Inti Creates,8.1,0.28,0.16,0.1,0,0.02,12-09-2006,
Tom and Jerry Tales,DS,Platform,Warner Bros. Interactive,Sensory Sweep,,0.28,0.2,,0.06,0.02,07-11-2006,
Mega Man 7,SNES,Platform,Capcom,Capcom,,0.28,0.03,0.23,0.01,0.01,23-03-1995,
Ice Age: Dawn of the Dinosaurs,Wii,Platform,Activision,Eurocom Entertainment Software,7.2,0.28,0.11,,0.14,0.03,30-06-2009,
Castlevania: Aria of Sorrow,GBA,Platform,Konami,KCET,8.8,0.28,0.2,,0.07,0,06-05-2003,
Pokémon Box: Ruby and Sapphire,GC,Misc,Nintendo,The Pokémon Company,,0.28,,0.27,,0.01,12-09-2004,
Kobitodzukan: Kobito Kansatsu Set,3DS,Misc,Nippon Columbia,Nippon Columbia,,0.28,,0.28,,,26-07-2012,02-04-2018
DeathSmiles,X360,Shooter,Aksys Games,Cave,8,0.28,0.15,0.05,0.06,0.02,29-06-2010,
Mister Mosquito,PS2,Shooter,Eidos Interactive,Zoom Inc.,6.6,0.28,0.05,0.17,0.04,0.01,12-03-2002,
Triple Play 2000,N64,Sports,EA Sports,Treyarch,,0.28,0.27,,0.01,0,22-03-1999,
Need for Speed: The Run,Wii,Racing,Electronic Arts,Firebrand Games,,0.28,0.11,0.01,0.13,0.03,15-11-2011,
World of Tanks,PC,Shooter,Wargaming.net,Wargaming.net,7.8,0.28,,,0.23,0.05,12-04-2011,
MX SuperFly featuring Ricky Carmichael,PS2,Racing,THQ,Pacific Coast Power & Light,,0.28,0.14,,0.11,0.04,17-06-2002,
Need for Speed: Most Wanted (2012),WiiU,Racing,Electronic Arts,Criterion Games,8.4,0.28,0.13,,0.13,0.02,19-03-2013,19-12-2018
Need for Speed: Most Wanted,PC,Racing,Electronic Arts,EA Canada,,0.28,0.02,,0.24,0.02,15-11-2005,
Corvette,GBA,Racing,TDK Mediactive,Visual Impact,4.9,0.28,0.2,,0.07,0.01,11-11-2003,
Stuntman: Ignition,PS2,Racing,THQ,Paradigm Entertainment,,0.27,0.13,,0.1,0.03,28-08-2007,
NASCAR 06: Total Team Control,XB,Racing,EA Sports,EA Tiburon,,0.27,0.2,,0.06,0.01,30-08-2005,
Driveclub VR,PS4,Racing,Sony Interactive Entertainment,Evolution Studios,,0.27,0.12,0.01,0.09,0.04,13-10-2016,25-09-2018
F1 Race Stars,X360,Racing,Codemasters,Codemasters Birmingham,,0.27,0.07,,0.18,0.02,13-11-2012,17-10-2018
MotoGP,PS2,Racing,Namco,Namco,,0.27,0.06,0.14,0.05,0.02,31-10-2000,
Littlest Pet Shop: Beach Friends,DS,Simulation,Electronic Arts,EA Salt Lake,,0.27,0.25,,,0.02,20-10-2009,
Jurassic Park: Operation Genesis,PS2,Simulation,VU Games,Blue Tongue,,0.27,0.13,,0.1,0.03,25-03-2003,
Baten Kaitos: Eternal Wings and the Lost Ocean,GC,Role-Playing,Namco,tri-Crescendo / Monolith Soft,8.2,0.27,0.21,,0.05,0.01,16-11-2004,
Final Fantasy XI: Ultimate Collection,X360,Role-Playing,Square Enix,Square Enix,,0.27,0.25,,,0.02,10-11-2009,
The BIGS,X360,Sports,2K Sports,Blue Castle Games,,0.27,0.18,,0.08,,25-06-2007,
Slam Dunk: Yonkyo Taiketsu!!,SNES,Sports,Bandai,Bandai,,0.27,,0.27,,,26-03-1994,
NHL 07,X360,Sports,EA Sports,EA Canada,8,0.27,0.25,,0,0.02,12-09-2006,
NHL 2K11,Wii,Sports,2K Sports,Visual Concepts,6.3,0.27,0.23,,0.02,0.02,24-08-2010,
NHL 2002,XB,Sports,EA Sports,EA Canada,,0.27,0.2,,0.06,0.01,10-12-2001,
Jikkyou Powerful Pro Yakyuu 5,N64,Sports,Konami,Diamond Head,,0.27,,0.27,,0,26-03-1998,
NBA In The Zone '98,N64,Sports,Konami,Konami Computer Entertainment Osaka,,0.27,0.25,,0.02,0,10-02-1998,
Remington Super Slam Hunting: Africa,Wii,Sports,Mastiff,Mastiff,,0.27,0.25,,,0.02,09-11-2010,
And1 Streetball,PS2,Sports,Ubisoft,Black Ops Entertainment,,0.27,0.13,,0.1,0.03,06-06-2006,
NBA Jam 99,N64,Sports,Acclaim Entertainment,Iguana Entertainment,,0.27,0.25,,0.02,0,04-12-1998,
Mat Hoffman's Pro BMX,GBA,Sports,Activision,HotGen Studios,,0.27,0.19,,0.07,0,19-11-2001,
NFL Street 3,PSP,Sports,EA Sports BIG,EA Tiburon,6.7,0.27,0.24,,0,0.02,14-11-2006,
Jikkyou Powerful Pro Yakyuu 2,SNES,Sports,Konami,Konami,,0.27,,0.27,,,24-02-1995,
Summer Athletics: The Ultimate Challenge (US sales),Wii,Sports,Conspiracy Entertainment,49Games,,0.27,0.23,,0.03,,04-08-2008,
NBA ShootOut 2001,PS,Sports,Sony Computer Entertainment,989 Sports,,0.27,0.15,,0.1,0.02,30-10-2000,
Cabela's Big Game Hunter 2010,X360,Sports,Activision,Cauldron,,0.27,0.25,,,0.02,29-09-2009,
Knockout Kings 2002,XB,Sports,EA Sports,Black Ops Entertainment,,0.27,0.2,,0.06,0.01,04-03-2002,
ESPN NBA Basketball,XB,Sports,Sega,Visual Concepts,,0.27,0.2,,0.06,0.01,22-10-2003,
Gallop Racer 2: One and Only Road to Victory,PS,Sports,Tecmo,Tecmo,,0.27,,0.25,,0.02,20-11-1997,
Dragon Ball Z: Tenkaichi Tag Team,PSP,Fighting,Namco Bandai,Dimps Corporation,6,0.27,0.11,0.09,0.04,0.03,19-10-2010,
Battle Arena Toshinden 3,PS,Fighting,Playmates,Takara,,0.27,0.06,0.14,0.04,0.02,31-03-1997,
InuYasha: Feudal Combat,PS2,Fighting,Bandai,Eighting,,0.27,0.13,,0.1,0.03,24-08-2005,
Pro Evolution Soccer 2017,PS3,Sports,Konami Digital Entertainment,PES Productions,,0.27,0.04,0.08,0.12,0.03,13-09-2016,14-04-2018
Q-Ball: Billiards Master,PS2,Sports,Take-Two Interactive,"ASK Co. Ltd., Ornith",,0.27,0.13,,0.1,0.04,29-02-2000,
NBA Live 14,PS4,Sports,EA Sports,EA Tiburon,,0.27,0.17,,0.05,0.05,15-11-2013,19-10-2018
Pro Evolution Soccer 2013,PSP,Sports,Konami Digital Entertainment,Konami,,0.27,,0.18,0.08,0.02,06-11-2012,12-01-2018
Athens 2004,PS2,Sports,Sony Computer Entertainment,Eurocom Entertainment Software,,0.27,0.13,,0.1,0.03,14-07-2004,
Jikkyou Powerful Pro Yakyuu Portable 4,PSP,Sports,Konami,PawaPuro Productions,,0.27,,0.27,,,17-09-2009,
Sydney 2000,PS,Sports,Eidos Interactive,Attention To Detail,,0.27,0.15,,0.1,0.02,31-07-2000,
Rapala Pro Bass Fishing 2010,PS3,Sports,Activision,FUN Labs,,0.27,0.18,,0.06,0.03,28-09-2010,
Cabela's Trophy Bucks,PS2,Sports,Activision,Sand Grain Studios,,0.27,0.13,,0.11,0.04,19-09-2007,
Motocross Maniacs Advance,GBA,Racing,Konami,"Konami Computer Entertainment America, Inc. Honolulu Studio",,0.27,0.2,,0.07,0,21-03-2002,
AC/DC LIVE: Rock Band Track Pack,Wii,Misc,MTV Games,Harmonix Music Systems,,0.27,0.24,,0,0.02,16-11-2008,
My Japanese Coach,DS,Misc,Ubisoft,Ubisoft,,0.27,0.24,,0,0.02,15-10-2008,
Sonic X: Game Boy Advance Video Volume 1,GBA,Misc,Majesco,Majesco Games,,0.27,0.19,,0.07,0,14-05-2004,
Pinkalicious,DS,Misc,GameMill,GameMill Entertainment,,0.27,0.25,,,0.02,29-03-2011,
Moero! Nekketsu Rhythm Damashii: Osu! Tatakae! Ouendan! 2,DS,Misc,Nintendo,iNiS,,0.27,,0.27,,,17-05-2007,
Lightning Returns: Final Fantasy XIII,X360,Misc,Square Enix,Unknown,6.4,0.27,0.15,0.01,0.08,0.02,11-02-2014,
Bridge,2600,Misc,Activision,Activision,,0.27,0.25,,0.02,0,01-12-1980,
LEGO The Hobbit,XOne,Action-Adventure,Warner Bros. Interactive Entertainment,Traveller's Tales,,0.27,0.13,,0.13,0.02,08-04-2014,15-03-2018
Metal Gear Solid V: Ground Zeroes,XOne,Action-Adventure,Konami Digital Entertainment,Kojima Productions,7.7,0.27,0.13,,0.13,0.02,18-03-2014,22-03-2018
Family Guy: Back to the Multiverse,PS3,Action-Adventure,Activision,Heavy Iron Studios,,0.27,0.12,,0.11,0.05,20-11-2012,19-10-2018
Batman: Arkham Origins Blackgate,3DS,Action-Adventure,Warner Bros. Interactive Entertainment,Armature Studio,7,0.27,0.16,,0.09,0.02,25-10-2013,10-12-2018
Robinson: The Journey,PS4,Action-Adventure,Sony Interactive Entertainment,Crytek,,0.27,0.14,,0.09,0.05,08-11-2016,14-09-2018
Shenmue I & II,PS4,Action-Adventure,Sega,Sega,,0.27,0.09,0.05,0.1,0.04,21-08-2018,19-12-2018
The Amazing Spider-Man 2 (2014),PS3,Action-Adventure,Activision,Beenox,,0.27,0.06,0.02,0.14,0.04,29-04-2014,19-03-2018
Are You Smarter than a 5th Grader? Game Time,Wii,Puzzle,THQ,THQ,,0.27,0.25,,,0.02,26-10-2009,
Ty the Tasmanian Tiger,GC,Platform,Electronic Arts,Krome Studios,7.1,0.27,0.21,,0.05,0.01,10-09-2002,
Just Dance Kids 2,Wii,Misc,Ubisoft,Ubisoft,,0.27,0.25,,,0.02,25-10-2011,
Connect Four / Perfection / Trouble,GBA,Misc,"Destination Software, Inc",Gravity-I,,0.27,0.19,,0.07,0,21-08-2005,
Boogie,DS,Misc,Electronic Arts,EA Montreal,,0.27,0.24,,0,0.02,27-11-2007,
Sengoku Basara 4,PS3,Misc,Capcom,Capcom,,0.27,,0.27,,,23-01-2014,19-10-2018
Sly Cooper: Thieves in Time,PSV,Misc,Sony Computer Entertainment America,Sanzaru Games,,0.27,0.13,,0.07,0.07,05-02-2013,05-01-2018
Trivial Pursuit,PS2,Misc,Electronic Arts,Adrenalin Interactive,,0.27,0.09,,0.01,0.17,10-03-2009,
GRID 2,X360,Misc,Codemasters,Unknown,,0.27,0.08,0,0.17,0.02,28-05-2013,
Create,Wii,Misc,Electronic Arts,EA Bright Light,,0.27,0.23,,0.03,0.02,16-11-2010,
Wipeout 2,X360,Misc,Activision,Endemol,,0.27,0.25,,,0.02,11-10-2011,
Brain Age: Concentration Training,3DS,Misc,Nintendo,Nintendo,7.5,0.27,,0.27,,,10-02-2013,30-08-2018
Rock Revolution,PS3,Misc,Konami,Zoe Mode / HB Studios,,0.27,0.25,,,0.02,14-10-2008,
Sesame Street: Cookie's Counting Carnival,DS,Misc,Warner Bros. Interactive,Black Lantern Studios,,0.27,0.25,,,0.02,20-10-2010,
Wipeout 2,DS,Misc,Activision,Endemol,,0.27,0.25,,,0.02,11-10-2011,
Marvel Super Hero Squad: The Infinity Gauntlet,Wii,Action,THQ,Griptonite Games,,0.27,0.21,,0.04,0.02,16-11-2010,
One Piece: Pirate Warriors 3,PS3,Action,Tecmo Koei,Omega Force,,0.27,,0.2,0.06,0.01,25-08-2015,12-01-2018
M&M's Blast!,GBA,Puzzle,Majesco,Pipe Dream Interactive,,0.27,0.2,,0.07,0,01-12-2001,
Angry Birds: Star Wars,Wii,Puzzle,Activision,Exient Entertainment,,0.27,0.15,,0.1,0.02,29-10-2013,16-03-2018
Pac-Pix,DS,Puzzle,Namco,Namco,6.8,0.27,0.16,0.1,0,0.01,26-04-2005,
Ratatouille: Food Frenzy,DS,Puzzle,THQ,Helixe,,0.27,0.25,,0,0.02,29-10-2007,
Super Nazo Puyo: Ruruu no Ruu,SNES,Puzzle,Banpresto,Compile,,0.27,,0.27,,0,26-05-1995,
Super Collapse! 3,DS,Puzzle,Mumbo Jumbo,Mac Play,,0.27,0.25,,,0.02,30-10-2007,
Over the Hedge,GBA,Platform,Activision,Vicarious Visions,,0.27,0.19,,0.07,0,05-05-2006,
Disney's Chicken Little,GC,Platform,Buena Vista,Avalanche Software,7,0.27,0.21,,0.05,0.01,20-10-2005,
Skylanders SWAP Force,3DS,Platform,Activision,n-Space,7.7,0.27,0.12,,0.13,0.02,13-10-2013,16-01-2018
Despicable Me: The Game,Wii,Platform,D3 Publisher,Monkey Bar Games,,0.27,0.16,,0.08,0.02,06-07-2010,
Skylanders Imaginators,XOne,Platform,Activision,Toys for Bob,,0.27,0.19,,0.05,0.03,16-10-2016,26-03-2018
Puppeteer,PS3,Platform,Sony Computer Entertainment America,SCE Japan Studio,,0.27,0.11,0.02,0.09,0.04,10-09-2013,16-09-2018
Ratatouille,X360,Platform,THQ,Heavy Iron Studios,5.3,0.27,0.23,,0.02,0.02,26-06-2007,
Reader Rabbit Kindergarten,DS,Misc,Graffiti,Graffiti Entertainment,,0.27,0.25,,,0.02,15-12-2009,
Transformers: Cybertron Adventures,Wii,Action,Activision,High Moon Studios,3.7,0.27,0.14,,0.1,0.02,22-06-2010,
Fantastic 4,XB,Action,Activision,7 Studios,,0.27,0.2,,0.06,0.01,27-06-2005,
Mr. Do!,2600,Action,Coleco,Coleco,,0.27,0.26,,0.02,0,01-01-1983,
Assassin's Creed The Ezio Collection,XOne,Action,Ubisoft,Ubisoft,,0.27,0.13,,0.12,0.02,15-11-2016,
Tomb Raider: Legend (Weekly American and JP sales),X360,Action,Eidos Interactive,Crystal Dynamics,,0.27,0.24,0.01,0,0.02,11-04-2006,
Dynasty Warriors,PS,Action,KOEI,Omega Force,,0.27,0.09,0.11,0.06,0.02,30-06-1997,31-12-2017
Tiny Toon Adventures: Plucky's Big Adventure,PS,Action,Conspiracy Entertainment,Warthog,,0.27,0.15,,0.1,0.02,02-10-2001,
Dead Rising 2: Off the Record,X360,Action,Capcom,Blue Castle Games,7.6,0.27,0.17,,0.08,0.02,11-10-2011,
Iron Man 2,X360,Action,Sega,"Sega Studios, San Francisco",5.1,0.27,0.15,,0.1,0.03,04-05-2010,
Friday the 13th: The Game,XOne,Action,Gun Media,IllFonic,,0.27,0.21,,0.03,0.03,13-10-2017,30-05-2018
Shadows of the Damned,PS3,Action,Electronic Arts,Grasshopper Manufacture,7.9,0.27,0.11,0.04,0.09,0.03,21-06-2011,
Rocky: Legends,PS2,Action,Ubisoft,Unknown,,0.27,0.13,,0.1,0.03,28-09-2004,
Flag Capture,2600,Action,Atari,Atari,,0.27,0.25,,0.02,0,01-01-1978,
G-Force,PS2,Action,Disney Interactive Studios,Eurocom Entertainment Software,,0.27,0.12,,0.01,0.14,21-07-2009,
Shadow of Rome,PS2,Action,Capcom,Capcom,,0.27,0.13,,0.1,0.03,08-02-2005,
LEGO Jurassic World,PSV,Action,Warner Bros. Interactive Entertainment,TT Fusion,,0.27,0.05,,0.16,0.06,12-06-2015,06-04-2018
Scooby-Doo! and the Spooky Swamp,PS2,Action,Warner Bros. Interactive,Torus Games,,0.27,0.08,,0.11,0.08,14-09-2010,
Fate/Extella: The Umbral Star,PS4,Action,Xseed Games,Marvelous Entertainment,,0.27,0.12,0.12,,0.03,17-01-2017,13-01-2018
Assassin's Creed: Altair's Chronicles,DS,Action,Ubisoft,Gameloft,,0.27,0.27,,,,05-02-2008,
Monopoly,DS,Misc,Electronic Arts,Electronic Arts,,0.27,0.15,,0.09,0.02,26-10-2010,
Reign of Fire,PS2,Shooter,BAM! Entertainment,Kuju Entertainment,,0.27,0.13,,0.1,0.03,22-10-2002,
Call of Juarez: The Cartel,X360,Shooter,Ubisoft,Techland,5.2,0.27,0.14,,0.1,0.03,19-07-2011,
iCarly 2: iJoin The Click!,DS,Adventure,Activision,"Human Soft, Inc.",,0.27,0.25,,0,0.02,16-11-2010,
Evil Dead: Hail to the King,PS,Adventure,THQ,Heavy Iron Studios,,0.27,0.15,,0.1,0.02,04-12-2000,
One Piece Unlimited Cruise 1: The Treasure Beneath the Waves,Wii,Adventure,Namco Bandai,Ganbarion,,0.27,,0.19,0.07,0.01,19-06-2009,
Harry Potter and the Order of the Phoenix,PS2,Adventure,Electronic Arts,EA Games,,0.27,0.13,,0.1,0.03,25-06-2007,
Megamind: The Blue Defender,DS,Adventure,THQ,Tantalus Interactive,,0.27,0.19,,0.06,0.02,02-11-2010,
Minecraft: Story Mode - Season Two,XOne,Adventure,Telltale Games,Telltale Games,,0.27,0.17,,0.08,0.02,19-09-2017,07-08-2018
